"GEOID","suffix","n"
"01001","DR",351
"01003","LN",1660
"01005","RD",522
"01007","RD",378
"01009","RD",942
"01011","RD",174
"01013","RD",614
"01015","ST",929
"01017","ST",290
"01019","ST",185
"01021","ST",174
"01023","RD",670
"01025","RD",787
"01027","RD",601
"01029","ST",108
"01031","ST",377
"01033","ST",580
"01035","RD",392
"01037","RD",270
"01039","RD",1134
"01041","RD",584
"01043","RD",216
"01045","ST",442
"01047","ST",281
"01049","ST",304
"01051","RD",1113
"01053","RD",734
"01055","RD",942
"01057","RD",452
"01059","RD",637
"01061","RD",729
"01063","RD",179
"01065","RD",380
"01067","ST",153
"01069","RD",886
"01071","ST",435
"01073","DR",3476
"01075","RD",601
"01077","DR",557
"01079","ST",148
"01081","DR",572
"01083","RD",668
"01085","RD",432
"01087","RD",315
"01089","DR",1583
"01091","RD",259
"01093","RD",758
"01095","RD",1151
"01097","DR",2455
"01099","RD",784
"01101","DR",1202
"01103","SW",892
"01105","RD",271
"01107","RD",641
"01109","ST",256
"01111","DR",218
"01113","RD",498
"01115","RD",1022
"01117","DR",1577
"01119","RD",299
"01121","LN",1031
"01123","RD",1074
"01125","DR",1703
"01127","RD",1663
"01129","RD",978
"01131","RD",423
"01133","RD",303
"02013","RD",76
"02016","RD",100
"02020","CIR",1402
"02050","RD",243
"02060","RD",73
"02063","RD",135
"02066","RD",123
"02068","RD",137
"02070","RD",125
"02090","RD",788
"02100","RD",82
"02105","RD",47
"02110","ST",227
"02122","ST",1030
"02130","RD",123
"02150","ST",95
"02158","ST",108
"02164","RD",171
"02170","DR",1742
"02180","RD",209
"02185","ST",131
"02188","ST",98
"02195","ST",72
"02198","ST",160
"02220","ST",89
"02230","AVE",24
"02240","RD",212
"02275","ST",40
"02282","TRL",39
"02290","RD",331
"04001","RD",727
"04003","RD",2350
"04005","RD",1516
"04007","DR",811
"04009","RD",422
"04011","RD",203
"04012","RD",425
"04013","DR",24125
"04015","DR",3639
"04017","RD",1636
"04019","DR",4509
"04021","DR",3860
"04023","CT",726
"04025","RD",3087
"04027","ST",1258
"05001","RD",440
"05003","RD",393
"05005","LN",895
"05007","LN",2768
"05009","LN",476
"05011","RD",616
"05013","RD",64
"05015","RD",296
"05017","ST",309
"05019","RD",1010
"05021","ST",439
"05023","RD",550
"05025","RD",404
"05027","ST",400
"05029","RD",518
"05031","RD",1050
"05033","ST",456
"05035","RD",558
"05037","RD",174
"05039","ST",184
"05041","ST",308
"05043","RD",284
"05045","DR",1093
"05047","RD",396
"05049","LN",498
"05051","LN",1146
"05053","ST",154
"05055","RD",435
"05057","RD",471
"05059","RD",665
"05061","PVT",771
"05063","LN",593
"05065","RD",260
"05067","ST",330
"05069","ST",915
"05071","RD",373
"05073","ST",248
"05075","ST",449
"05077","ST",129
"05079","RD",283
"05081","ST",258
"05083","RD",488
"05085","RD",735
"05087","RD",82
"05089","LN",717
"05091","ST",520
"05093","ST",779
"05095","RD",228
"05097","RD",479
"05099","RD",347
"05101","RD",187
"05103","SW",217
"05105","LN",250
"05107","ST",248
"05109","RD",737
"05111","RD",379
"05113","RD",948
"05115","LN",724
"05117","RD",624
"05119","DR",2528
"05121","RD",418
"05123","ST",231
"05125","DR",1113
"05127","RD",582
"05129","RD",595
"05131","ST",1332
"05133","RD",347
"05135","RD",541
"05137","RD",417
"05139","RD",570
"05141","RD",674
"05143","RD",1616
"05145","RD",964
"05147","ST",162
"05149","RD",656
"06001","CT",3713
"06003","RD",115
"06005","RD",606
"06007","RD",1356
"06009","RD",998
"06011","RD",397
"06013","CT",6233
"06015","RD",316
"06017","RD",1931
"06019","AVE",10996
"06021","ST",224
"06023","RD",1943
"06025","RD",1325
"06027","RD",661
"06029","ST",5051
"06031","AVE",987
"06033","RD",1420
"06035","RD",761
"06037","AVE",20794
"06039","RD",651
"06041","RD",1000
"06043","RD",790
"06045","RD",1404
"06047","CT",1198
"06049","RD",853
"06051","RD",540
"06053","RD",1460
"06055","CT",528
"06057","RD",1576
"06059","DR",6619
"06061","CT",2722
"06063","RD",664
"06065","DR",7980
"06067","WAY",6333
"06069","RD",360
"06071","RD",11460
"06073","ST",6054
"06075","ST",1455
"06077","CT",2131
"06079","RD",2204
"06081","AVE",1857
"06083","RD",1572
"06085","CT",6082
"06087","RD",1496
"06089","RD",1913
"06091","RD",368
"06093","RD",1424
"06095","CT",2319
"06097","RD",2840
"06099","CT",1967
"06101","RD",405
"06103","RD",822
"06105","RD",1020
"06107","AVE",2870
"06109","RD",1242
"06111","ST",2572
"06113","ST",686
"06115","RD",410
"08001","ST",2634
"08003","ST",141
"08005","ST",2321
"08007","CT",312
