"GEOID","suffix","n","proportion"
"01001","DR",351,0.168345323741007
"01003","LN",1660,0.188893946290396
"01005","RD",522,0.368904593639576
"01007","RD",378,0.260151410874054
"01009","RD",942,0.371012209531312
"01011","RD",174,0.198177676537585
"01013","RD",614,0.413189771197847
"01015","ST",929,0.198589140658401
"01017","ST",290,0.135198135198135
"01019","ST",185,0.0778947368421053
"01021","ST",174,0.0877016129032258
"01023","RD",670,0.518977536793184
"01025","RD",787,0.394091136705058
"01027","RD",601,0.48742903487429
"01029","ST",108,0.108324974924774
"01031","ST",377,0.19040404040404
"01033","ST",580,0.208183776022972
"01035","RD",392,0.327212020033389
"01037","RD",270,0.248618784530387
"01039","RD",1134,0.353051058530511
"01041","RD",584,0.541743970315399
"01043","RD",216,0.0603520536462699
"01045","ST",442,0.183326420572377
"01047","ST",281,0.123897707231041
"01049","ST",304,0.0827436037016875
"01051","RD",1113,0.306949806949807
"01053","RD",734,0.315563198624248
"01055","RD",942,0.213799364502951
"01057","RD",452,0.363929146537842
"01059","RD",637,0.314412635735439
"01061","RD",729,0.394267171444024
"01063","RD",179,0.259420289855072
"01065","RD",380,0.366441658630665
"01067","ST",153,0.12289156626506
"01069","RD",886,0.261897723913686
"01071","ST",435,0.191292875989446
"01073","DR",3476,0.149756580931455
"01075","RD",601,0.48742903487429
"01077","DR",557,0.138902743142145
"01079","ST",148,0.122618061309031
"01081","DR",572,0.101580536316818
"01083","RD",668,0.222000664672649
"01085","RD",432,0.425196850393701
"01087","RD",315,0.242494226327945
"01089","DR",1583,0.183408643262658
"01091","RD",259,0.190581309786608
"01093","RD",758,0.337338673787272
"01095","RD",1151,0.296191456510551
"01097","DR",2455,0.197712813078844
"01099","RD",784,0.444948921679909
"01101","DR",1202,0.205927702586945
"01103","SW",892,0.235604860010565
"01105","RD",271,0.36820652173913
"01107","RD",641,0.423661599471249
"01109","ST",256,0.14892379290285
"01111","DR",218,0.139386189258312
"01113","RD",498,0.205955334987593
"01115","RD",1022,0.227010217681031
"01117","DR",1577,0.216889011140146
"01119","RD",299,0.304791029561672
"01121","LN",1031,0.254505060478894
"01123","RD",1074,0.322232223222322
"01125","DR",1703,0.214186894730223
"01127","RD",1663,0.388188608776844
"01129","RD",978,0.618204804045512
"01131","RD",423,0.437888198757764
